IdCaso,Id,DIAH,MESH,ANNOH,COD_DANE_MUN,DEPTO_CASO,MUNINICIO_CASO,Sexo,Etnia,OcupacionVictima,CalidadVictima,TipoPoblacionVulnerable,Grupo,DESCRIPCION_GRUPO,SituacionActualVictima,AfectacionHeridos,CircunstanciaMuerteVictima,ActividadDesarrolladaMomentoAfectacion,Estado
292583,333980,19,2,2016,19212,Cauca,Corinto,H,,Sin información,Civil,,,,Herida,Esquirla(s),,"Actividades agropecuarias, caza o pesca",Publicado
292584,333981,3,2,2016,81794,Arauca,Tame,H,,Sin información,Civil,,,,Herida,Amputación de miembro(s) y otras,,Manipulación de artefacto explosivo,Publicado
292589,333986,2,10,2015,19142,Cauca,Caloto,H,Indígena,Sin información,Civil,,,,Herida,Afectación múltiple,,Manipulación de artefacto explosivo,Publicado
292591,333988,8,8,2015,5837,Antioquia,Turbo,H,,Erradicador,Civil,,,,Herida,Herida(s),,Erradicación de cultivos ilícitos,Publicado
292594,333991,7,6,2015,86568,Putumayo,Puerto asís,H,,Sin información,Civil,,,,Herida,Amputación de miembro(s) y otras,,Manipulación de artefacto explosivo,Publicado
292601,333998,22,4,2015,19455,Cauca,Miranda,M,Indígena,Sin información,Civil,,,,Herida,Trauma,,Tránsito por trocha o camino,Publicado
292602,333999,15,4,2015,54261,Norte de santander,El zulia,H,,Campesino,Civil,,,,Herida,Esquirla(s),,"Actividades agropecuarias, caza o pesca",Publicado
292605,334002,6,3,2015,18753,Caquetá,San vicente del caguán,H,,Sin información,Civil,,,,Herida,Amputación de miembro(s) y otras,,"Actividades agropecuarias, caza o pesca",Publicado
292616,334013,18,11,2014,19455,Cauca,Miranda,H,Indígena,Sin información,Civil,,,,Herida,Amputación de miembro(s) y otras,,"Actividades agropecuarias, caza o pesca",Publicado
292618,334015,13,11,2014,81065,Arauca,Arauquita,H,,Sin información,Civil,,,,Herida,Amputación de miembro(s) y otras,,Sin información,Publicado
292629,334026,9,8,2014,52835,Nariño,San andrés de tumaco,H,Indígena,Erradicador,Civil,,,,Herida,Afectación múltiple,,Erradicación de cultivos ilícitos,Publicado
292642,334039,5,5,2014,52612,Nariño,Ricaurte,H,,Sin información,Civil,,,,Herida,Afectación múltiple,,"Actividades agropecuarias, caza o pesca",Publicado
292644,334041,10,4,2014,5040,Antioquia,Anorí,H,,Sin información,Civil,,,,Herida,Amputación de miembro(s) y otras,,"Actividades agropecuarias, caza o pesca",Publicado
292648,334045,20,3,2014,76275,Valle del cauca,Florida,H,Indígena,Campesino,Civil,,,,Herida,Amputación de miembro(s),,"Actividades agropecuarias, caza o pesca",Publicado
292650,334047,15,3,2014,18150,Caquetá,Cartagena del chairá,H,,Sin información,Civil,,,,Herida,Amputación de miembro(s) y otras,,Tránsito por trocha o camino,Publicado
292654,334051,13,2,2014,76563,Valle del cauca,Pradera,H,,Sin información,Civil,,,,Herida,Herida(s),,Sin información,Publicado
292661,334058,16,1,2014,5120,Antioquia,Cáceres,H,,Sin información,Civil,,,,Herida,Afectación múltiple,,Tránsito por trocha o camino,Publicado
292662,334059,14,1,2014,81794,Arauca,Tame,M,,Sin información,Civil,,,,Herida,Amputación de miembro(s) y otras,,"Actividades agropecuarias, caza o pesca",Publicado
292664,334061,9,12,2013,27361,Chocó,Istmina,H,Afrocolombiano,Sin información,Civil,,,,Herida,Herida(s),,Sin información,Publicado
292665,334062,24,11,2013,44855,La guajira,Urumita,H,,Sin información,Civil,,,,Herida,Afectación auditiva,,"Actividades agropecuarias, caza o pesca",Publicado
292666,334063,16,11,2013,52835,Nariño,San andrés de tumaco,H,,Campesino,Civil,,,,Herida,Herida(s),,"Actividades agropecuarias, caza o pesca",Publicado
292669,334066,30,9,2013,5847,Antioquia,Urrao,H,Afrocolombiano,Sin información,Civil,,,,Herida,Amputación de miembro(s),,Tránsito por trocha o camino,Publicado
292671,334068,28,9,2013,19130,Cauca,Cajibío,H,Indígena,Sin información,Civil,,,,Herida,Herida(s),,Otro,Publicado
292673,334070,15,9,2013,5042,Antioquia,Santa fé de antioquia,H,,Sin información,Civil,,,,Herida,Herida(s),,Tránsito por trocha o camino,Publicado
292675,334072,1,9,2013,81794,Arauca,Tame,H,Indígena,Sin información,Civil,,,,Herida,Herida(s),,"Actividades agropecuarias, caza o pesca",Publicado
292676,334073,30,8,2013,19212,Cauca,Corinto,H,Indígena,Campesino,Civil,,,,Herida,Herida(s),,"Actividades agropecuarias, caza o pesca",Publicado
292677,334074,30,8,2013,19212,Cauca,Corinto,M,Indígena,Campesino,Civil,,,,Herida,Herida(s),,"Actividades agropecuarias, caza o pesca",Publicado
292681,334078,2,8,2013,19050,Cauca,Argelia,H,,Sin información,Civil,,,,Herida,Esquirla(s),,Sin información,Publicado
292689,334086,26,6,2013,52385,Nariño,La llanada,H,,Campesino,Civil,,,,Herida,Herida(s),,"Actividades agropecuarias, caza o pesca",Publicado
292690,334087,23,6,2013,23466,Córdoba,Montelíbano,H,,Sin información,Civil,,,,Herida,Herida(s),,Sin información,Publicado
292694,334091,4,6,2013,85136,Casanare,La salina,H,,Campesino,Civil,,,,Muerta,,Sin información,"Actividades agropecuarias, caza o pesca",Publicado
292696,334093,21,5,2013,5361,Antioquia,Ituango,H,,Campesino,Civil,,,,Herida,Afectación múltiple,,"Actividades agropecuarias, caza o pesca",Publicado
292697,334094,12,5,2013,15377,Boyacá,Labranzagrande,H,,Sin información,Civil,,,,Herida,Afectación múltiple,,"Actividades agropecuarias, caza o pesca",Publicado
292698,334095,30,4,2013,5895,Antioquia,Zaragoza,H,,Sin información,Civil,,,,Herida,Herida(s),,Sin información,Publicado
292706,334103,24,2,2013,5361,Antioquia,Ituango,H,,Sin información,Civil,,,,Herida,Esquirla(s),,Tránsito por trocha o camino,Publicado
292709,334106,15,2,2013,5480,Antioquia,Mutatá,H,Afrocolombiano,Sin información,Civil,,,,Herida,Herida(s),,Sin información,Publicado
292710,334107,12,2,2013,19473,Cauca,Morales,H,Indígena,Sin información,Civil,,,,Herida,Quemadura,,Sin información,Publicado
292712,334109,6,2,2013,86573,Putumayo,Puerto leguízamo,M,Indígena,Sin información,Civil,,,,Herida,Afectación múltiple,,"Actividades agropecuarias, caza o pesca",Publicado
292718,334115,18,1,2013,19137,Cauca,Caldono,H,Indígena,Sin información,Civil,,,,Herida,Herida(s),,"Actividades agropecuarias, caza o pesca",Publicado
292719,334116,16,1,2013,68385,Santander,Landázuri,H,,Campesino,Civil,,,,Herida,Herida(s),,"Actividades agropecuarias, caza o pesca",Publicado
292720,334117,15,1,2013,86865,Putumayo,Valle del guamuez,H,,Sin información,Civil,,,,Herida,Amputación de miembro(s) y otras,,"Actividades agropecuarias, caza o pesca",Publicado
292723,334120,9,1,2013,5887,Antioquia,Yarumal,H,,Sin información,Civil,,,,Muerta,,Sin información,"Actividades agropecuarias, caza o pesca",Publicado
292726,334123,15,12,2012,52678,Nariño,Samaniego,H,,Sin información,Civil,,,,Muerta,,Sin información,Sin información,Publicado
292734,334131,7,11,2012,86573,Putumayo,Puerto leguízamo,H,,Erradicador,Civil,,,,Herida,Afectación auditiva,,Erradicación de cultivos ilícitos,Publicado
292737,334134,2,11,2012,27135,Chocó,El cantón del san pablo,H,Indígena,Sin información,Civil,,,,Herida,Herida(s),,Sin información,Publicado
292738,334135,21,10,2012,5790,Antioquia,Tarazá,H,,Sin información,Civil,,,,Herida,Amputación de miembro(s) y otras,,"Actividades agropecuarias, caza o pesca",Publicado
292741,334138,14,10,2012,5628,Antioquia,Sabanalarga,H,,Sin información,Civil,,,,Herida,Afectación múltiple,,Sin información,Publicado
292742,334139,13,10,2012,5854,Antioquia,Valdivia,H,,Sin información,Civil,,,,Herida,Esquirla(s),,Otro,Publicado
292743,334140,10,10,2012,5887,Antioquia,Yarumal,H,,Sin información,Civil,,,,Herida,Afectación múltiple,,"Actividades agropecuarias, caza o pesca",Publicado
292744,334141,16,9,2012,5652,Antioquia,San francisco,H,,Campesino,Civil,,,,Herida,Afectación múltiple,,"Actividades agropecuarias, caza o pesca",Publicado
292746,334143,12,9,2012,52427,Nariño,Magüí,H,,Campesino,Civil,,,,Herida,Herida(s),,"Actividades agropecuarias, caza o pesca",Publicado
292747,334144,8,9,2012,52678,Nariño,Samaniego,H,Afrocolombiano,Sin información,Civil,,,,Herida,Herida(s),,Sin información,Publicado
292749,334146,3,9,2012,5172,Antioquia,Chigorodó,H,Afrocolombiano,Campesino,Civil,,,,Muerta,,Sin información,"Actividades agropecuarias, caza o pesca",Publicado
292751,334148,1,9,2012,52835,Nariño,San andrés de tumaco,H,,Sin información,Civil,,,,Herida,Herida(s),,Sin información,Publicado
292753,334150,26,8,2012,5790,Antioquia,Tarazá,H,,Sin información,Civil,,,,Herida,Amputación de miembro(s),,Tránsito por trocha o camino,Publicado
292754,334151,19,8,2012,52227,Nariño,Cumbal,H,,Sin información,Civil,,,,Herida,Herida(s),,Sin información,Publicado
292761,334158,2,7,2012,27745,Chocó,Sipí,H,,Sin información,Civil,,,,Herida,Amputación de miembro(s) y otras,,Tránsito por trocha o camino,Publicado
292763,334160,25,6,2012,50330,Meta,Mesetas,M,,Sin información,Civil,,,,Herida,Amputación de miembro(s) y otras,,"Actividades agropecuarias, caza o pesca",Publicado
292765,334162,30,5,2012,54800,Norte de santander,Teorama,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292768,334165,10,5,2012,5790,Antioquia,Tarazá,H,,Sin información,Civil,,,,Herida,Amputación de miembro(s),,"Actividades agropecuarias, caza o pesca",Publicado
292770,334167,7,5,2012,86573,Putumayo,Puerto leguízamo,H,,Campesino,Civil,,,,Herida,Afectación auditiva,,"Actividades agropecuarias, caza o pesca",Publicado
292771,334168,4,5,2012,52385,Nariño,La llanada,H,,Sin información,Civil,,,,Herida,Herida(s),,Sin información,Publicado
292775,334172,20,4,2012,19455,Cauca,Miranda,H,,Sin información,Civil,,,,Muerta,,Sin información,Tránsito por trocha o camino,Publicado
292777,334174,16,4,2012,5790,Antioquia,Tarazá,H,,Sin información,Civil,,,,Herida,Amputación de miembro(s),,"Actividades agropecuarias, caza o pesca",Publicado
292783,334180,31,3,2012,5040,Antioquia,Anorí,H,,Campesino,Civil,,,,Herida,Trauma,,"Actividades agropecuarias, caza o pesca",Publicado
292784,334181,15,3,2012,27800,Chocó,Unguía,H,Afrocolombiano,Sin información,Civil,,,,Herida,Amputación de miembro(s) y otras,,Sin información,Publicado
292788,334185,27,2,2012,54250,Norte de santander,El tarra,M,,Sin información,Civil,,,,Herida,Herida(s),,Tránsito por trocha o camino,Publicado
292789,334186,23,2,2012,86568,Putumayo,Puerto asís,H,,Sin información,Civil,,,,Herida,Amputación de miembro(s) y otras,,Tránsito por trocha o camino,Publicado
292790,334187,20,2,2012,5854,Antioquia,Valdivia,H,,Campesino,Civil,,,,Herida,Afectación auditiva,,"Actividades agropecuarias, caza o pesca",Publicado
292791,334188,17,2,2012,27800,Chocó,Unguía,H,Afrocolombiano,Campesino,Civil,,,,Herida,Amputación de miembro(s),,"Actividades agropecuarias, caza o pesca",Publicado
292792,334189,12,2,2012,81794,Arauca,Tame,M,Indígena,Sin información,Civil,,,,Herida,Herida(s),,Tránsito por trocha o camino,Publicado
292794,334191,6,2,2012,5837,Antioquia,Turbo,H,,Sin información,Civil,,,,Herida,Amputación de miembro(s),,Sin información,Publicado
292795,334192,2,2,2012,18205,Caquetá,Curillo,M,,Sin información,Civil,,,,Herida,Herida(s),,Sin información,Publicado
292803,334200,6,1,2012,5736,Antioquia,Segovia,H,,Sin información,Civil,,,,Muerta,,Sin información,Sin información,Publicado
292805,334202,10,12,2011,52621,Nariño,Roberto payán,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Herida(s),,Operaciones militares,Publicado
292806,334203,9,12,2011,52079,Nariño,Barbacoas,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Herida(s),,Operaciones militares,Publicado
292807,334204,9,12,2011,18410,Caquetá,La montañita,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Herida(s),,Operaciones militares,Publicado
292808,334205,8,12,2011,19212,Cauca,Corinto,H,,Sin información,Civil,,,,Herida,Amputación de miembro(s),,Sin información,Publicado
292809,334206,2,12,2011,73616,Tolima,Rioblanco,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Herida(s),,Operaciones militares,Publicado
292810,334207,1,12,2011,23001,Córdoba,Montería,H,,Sin información,Civil,,,,Herida,Herida(s),,Sin información,Publicado
292811,334208,1,12,2011,52835,Nariño,San andrés de tumaco,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Herida(s),,Operaciones militares,Publicado
292812,334209,25,11,2011,41020,Huila,Algeciras,H,,Sin información,Civil,,,,Herida,Herida(s),,Sin información,Publicado
292813,334210,22,11,2011,50223,Meta,Cubarral,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Herida(s),,Operaciones militares,Publicado
292814,334211,21,11,2011,52612,Nariño,Ricaurte,H,Indígena,Sin información,Civil,,,,Herida,Amputación de miembro(s) y otras,,Tránsito por trocha o camino,Publicado
292815,334212,19,11,2011,41206,Huila,Colombia,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Herida(s),,Operaciones militares,Publicado
292817,334214,5,11,2011,5315,Antioquia,Guadalupe,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292819,334216,30,10,2011,76275,Valle del cauca,Florida,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Herida(s),,Operaciones militares,Publicado
292820,334217,28,10,2011,27615,Chocó,Riosucio,H,Afrocolombiano,Sin información,Civil,,,,Muerta,,Sin información,Sin información,Publicado
292821,334218,21,10,2011,54800,Norte de santander,Teorama,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Afectación múltiple,,Operaciones militares,Publicado
292822,334219,15,10,2011,5361,Antioquia,Ituango,H,,Sin información,Civil,,,,Herida,Afectación múltiple,,Tránsito por trocha o camino,Publicado
292823,334220,14,10,2011,73001,Tolima,Ibagué,H,,Sin información,Civil,,,,Herida,Afectación múltiple,,Sin información,Publicado
292826,334223,10,10,2011,41206,Huila,Colombia,H,,Fuerza pública,Combatiente,,Agente del estado,Ejército nacional,Herida,Esquirla(s),,Operaciones militares,Publicado
292827,334224,8,10,2011,13688,Bolívar,Santa rosa del sur,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292829,334226,6,10,2011,5847,Antioquia,Urrao,H,,Fuerza pública,Combatiente,,Agente del estado,Ejército nacional,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292830,334227,4,10,2011,5887,Antioquia,Yarumal,H,,Sin información,Civil,,,,Herida,Herida(s),,Sin información,Publicado
292831,334228,2,10,2011,73236,Tolima,Dolores,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Muerta,,Sin información,Operaciones militares,Publicado
292832,334229,1,10,2011,23580,Córdoba,Puerto libertador,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Desconocida,,,Sin información,Publicado
292833,334230,1,10,2011,23580,Córdoba,Puerto libertador,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292834,334231,16,9,2011,5854,Antioquia,Valdivia,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Herida(s),,Operaciones militares,Publicado
292835,334232,4,9,2011,73168,Tolima,Chaparral,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Desconocida,,,Sin información,Publicado
292836,334233,4,9,2011,73168,Tolima,Chaparral,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Herida(s),,Operaciones militares,Publicado
292838,334235,27,8,2011,86568,Putumayo,Puerto asís,M,,Sin información,Civil,,,,Herida,Afectación auditiva,,Sin información,Publicado
292839,334236,26,8,2011,73675,Tolima,San antonio,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292840,334237,22,8,2011,54250,Norte de santander,El tarra,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Trauma,,Operaciones militares,Publicado
292842,334239,18,8,2011,73555,Tolima,Planadas,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292843,334240,15,8,2011,5234,Antioquia,Dabeiba,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Desconocida,,,Sin información,Publicado
292844,334241,15,8,2011,5234,Antioquia,Dabeiba,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292845,334242,15,8,2011,54800,Norte de santander,Teorama,H,,Fuerza pública,Combatiente,,Agente del estado,Ejército nacional,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292846,334243,11,8,2011,54206,Norte de santander,Convención,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Herida(s),,Operaciones militares,Publicado
292847,334244,11,8,2011,86569,Putumayo,Puerto caicedo,H,,Campesino,Civil,,,,Muerta,,Sin información,"Actividades agropecuarias, caza o pesca",Publicado
292848,334245,11,8,2011,52356,Nariño,Ipiales,H,Indígena,Sin información,Civil,,,,Herida,Afectación múltiple,,Sin información,Publicado
292849,334246,9,8,2011,18410,Caquetá,La montañita,H,,Campesino,Civil,,,,Herida,Amputación de miembro(s) y otras,,"Actividades agropecuarias, caza o pesca",Publicado
292851,334248,6,8,2011,41359,Huila,Isnos,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s) y otras,,Operaciones militares,Publicado
292852,334249,1,8,2011,76563,Valle del cauca,Pradera,H,,Campesino,Civil,,,,Herida,Pérdida de miembro(s),,"Actividades agropecuarias, caza o pesca",Publicado
292853,334250,31,7,2011,41020,Huila,Algeciras,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Trauma,,Operaciones militares,Publicado
292854,334251,29,7,2011,86571,Putumayo,Puerto guzmán,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Herida(s),,Operaciones militares,Publicado
292855,334252,29,7,2011,86757,Putumayo,San miguel,H,,Campesino,Civil,,,,Muerta,,Sin información,"Actividades agropecuarias, caza o pesca",Publicado
292857,334254,22,7,2011,52079,Nariño,Barbacoas,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292858,334255,19,7,2011,50400,Meta,Lejanías,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Herida(s),,Operaciones militares,Publicado
292860,334257,18,7,2011,41668,Huila,San agustín,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292861,334258,17,7,2011,52250,Nariño,El charco,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Aturdimiento,,Operaciones militares,Publicado
292862,334259,1,7,2011,41378,Huila,La argentina,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Herida(s),,Operaciones militares,Publicado
292863,334260,28,6,2011,5313,Antioquia,Granada,H,,Sin información,Civil,,,,Herida,,,Sin información,Publicado
292865,334262,22,6,2011,73168,Tolima,Chaparral,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292867,334264,9,6,2011,73555,Tolima,Planadas,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Muerta,,Sin información,Operaciones militares,Publicado
292868,334265,6,6,2011,50577,Meta,Puerto lleras,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292869,334266,6,6,2011,85010,Casanare,Aguazul,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s) y otras,,Operaciones militares,Publicado
292870,334267,4,6,2011,73616,Tolima,Rioblanco,H,,Fuerza pública,Combatiente,,Desconocido,No aplica,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292871,334268,3,6,2011,52427,Nariño,Magüí,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s) y otras,,Operaciones militares,Publicado
292872,334269,3,6,2011,5042,Antioquia,Santa fé de antioquia,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Herida(s),,Operaciones militares,Publicado
292873,334270,28,5,2011,41676,Huila,Santa maría,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Trauma,,Operaciones militares,Publicado
292874,334271,27,5,2011,52256,Nariño,El rosario,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Herida(s),,Operaciones militares,Publicado
292876,334273,24,5,2011,5790,Antioquia,Tarazá,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292877,334274,18,5,2011,52612,Nariño,Ricaurte,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Muerta,,Sin información,Operaciones militares,Publicado
292878,334275,16,5,2011,86568,Putumayo,Puerto asís,H,,Sin información,Civil,,,,Herida,Herida(s),,Sin información,Publicado
292879,334276,14,5,2011,5040,Antioquia,Anorí,H,,Sin información,Civil,,,,Herida,Amputación de miembro(s),,Sin información,Publicado
292880,334277,9,5,2011,41359,Huila,Isnos,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292881,334278,9,5,2011,23466,Córdoba,Montelíbano,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292882,334279,9,5,2011,5038,Antioquia,Angostura,H,,Sin información,Civil,,,,Herida,Trauma,,Sin información,Publicado
292883,334280,6,5,2011,73675,Tolima,San antonio,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Amputación de miembro(s),,Operaciones militares,Publicado
292884,334281,3,5,2011,52356,Nariño,Ipiales,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Muerta,,Sin información,Operaciones militares,Publicado
292885,334282,1,5,2011,52835,Nariño,San andrés de tumaco,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Muerta,,Sin información,Operaciones militares,Publicado
292886,334283,28,4,2011,95025,Guaviare,El retorno,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Muerta,,Sin información,Operaciones militares,Publicado
292887,334284,24,4,2011,44110,La guajira,El molino,H,,Sin información,Civil,,,,Herida,Herida(s),,Sin información,Publicado
292888,334285,21,4,2011,54800,Norte de santander,Teorama,M,,Sin información,Civil,,,,Herida,Amputación de miembro(s) y otras,,"Actividades agropecuarias, caza o pesca",Publicado
292890,334287,9,4,2011,73675,Tolima,San antonio,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Trauma,,Operaciones militares,Publicado
292891,334288,1,4,2011,86568,Putumayo,Puerto asís,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Herida,Afectación múltiple,,Operaciones militares,Publicado
292894,334291,29,3,2011,18592,Caquetá,Puerto rico,H,,Fuerza pública,Combatiente,,Agente del estado,No identificado,Desconocida,,,Sin información,Publicado
292895,334292,29,3,2011,95001,Guaviare,San josé del guaviare,H,,Sin información,Civil,,,,Herida,Esquirla(s),,Sin información,Publicado
